date,open,high,low,close,volume
2022-02-09,379.35,385.9,376.85,382.8,2140597
2022-02-10,381.75,384.4,373.4,374.85,4638095
2022-02-11,375.0,375.85,366.6,367.9,2050063
2022-02-14,362.0,365.0,354.05,355.1,1341336
2022-02-15,357.0,365.0,353.75,363.55,2027130
2022-02-16,365.1,367.85,359.5,360.7,1368175
2022-02-17,362.5,364.5,357.5,359.8,1439893
2022-02-18,352.7,354.0,337.2,338.35,11901556
2022-02-21,334.2,341.3,331.25,338.55,5812598
2022-02-22,334.0,338.45,331.1,337.35,3078034
2022-02-23,338.9,340.5,329.6,330.95,5312647
2022-02-24,316.0,322.35,302.05,306.95,12821969
2022-02-25,311.0,315.95,306.1,308.7,5240212
2022-02-28,306.3,315.95,302.95,314.25,7116898
2022-03-02,312.8,314.85,301.0,304.15,6623505
2022-03-03,308.6,311.1,287.9,290.2,11872107
2022-03-04,285.2,296.2,283.7,292.6,6171233
2022-03-07,287.95,289.0,278.0,281.2,6936569
2022-03-08,281.05,284.55,274.0,282.9,6513565
2022-03-09,285.8,292.65,281.0,291.65,7788795
2022-03-10,300.0,302.0,291.0,293.2,5031572
2022-03-11,293.0,296.0,290.3,293.45,4357253
2022-03-14,294.65,297.5,289.05,291.2,2658414
2022-03-15,293.6,301.85,292.85,295.1,6826748
2022-03-16,300.0,311.45,297.0,309.35,6876362
2022-03-17,314.2,314.9,305.45,306.2,9901093
2022-03-21,306.0,309.2,300.0,300.35,4583683
2022-03-22,300.45,302.9,296.05,300.9,3537814
2022-03-23,303.0,303.35,295.55,297.85,4697043
2022-03-24,296.95,299.65,295.0,297.05,4048136
2022-03-25,299.9,299.9,294.55,297.8,3115402
2022-03-28,299.4,299.4,288.5,291.8,4811353
2022-03-29,293.05,303.25,293.05,302.45,8193664
2022-03-30,300.8,304.8,298.8,303.05,6489029
2022-03-31,303.05,303.7,298.75,299.25,4950492
2022-04-01,298.9,306.5,298.5,304.95,3456879
2022-04-04,305.5,313.5,305.1,311.65,3638554
2022-04-05,314.45,317.7,310.35,316.8,5323145
2022-04-06,316.8,325.0,315.45,320.7,7255760
2022-04-07,320.2,327.4,320.05,325.6,5192205
2022-04-08,327.25,339.8,323.45,337.35,8276853
2022-04-11,338.45,369.5,338.3,360.2,30662312
2022-04-12,364.0,371.6,355.75,359.65,19884358
2022-04-13,359.95,374.2,359.0,369.2,17817591
2022-04-18,369.0,379.65,360.5,363.4,10936057
2022-04-19,366.75,370.0,351.0,354.25,9971239
2022-04-20,355.0,375.8,355.0,371.3,13525255
2022-04-21,378.9,384.35,374.8,377.35,14385266
2022-04-22,378.0,381.0,371.05,374.2,5946333
2022-04-25,371.8,387.6,370.0,376.35,12835090
2022-04-26,382.0,391.0,381.3,385.15,11192640
2022-04-27,385.0,387.7,376.25,384.55,11121579
2022-04-28,389.9,389.9,380.45,383.35,7163762
2022-04-29,384.7,385.5,370.75,372.2,10529413
2022-05-02,371.6,380.5,368.75,378.15,5959678
2022-05-04,379.55,382.0,364.65,368.1,5415006
2022-05-05,371.0,375.35,364.95,366.35,5794511
2022-05-06,360.55,372.35,360.55,365.4,5868878
2022-05-09,363.35,369.0,359.45,366.75,3690073
2022-05-10,368.55,373.9,355.0,358.2,6322735
2022-05-11,360.0,365.8,351.2,359.05,5728451
2022-05-12,356.85,382.0,349.3,373.55,7493279
2022-05-13,378.0,378.55,356.1,359.1,10195371
2022-05-16,367.0,377.7,360.35,368.0,50459752
2022-05-17,371.0,372.15,364.0,368.8,9431128
2022-05-18,369.25,372.6,359.7,361.1,11887905
2022-05-19,358.15,364.95,357.25,364.0,9179791
2022-05-20,368.0,368.0,362.05,363.0,4308673
2022-05-23,365.65,367.3,362.4,363.45,3889679
2022-05-24,364.8,365.7,360.45,361.45,4200025
2022-05-25,362.4,364.25,360.65,361.7,2440985
2022-05-26,362.15,366.3,359.7,365.4,3900318
2022-05-27,368.0,368.15,363.75,366.3,1603075
2022-05-30,368.5,372.5,366.75,371.55,5001959
2022-05-31,371.55,372.8,368.65,369.4,11507115
2022-06-01,370.0,373.0,369.15,371.65,2369910
2022-06-02,371.4,376.35,370.95,373.5,5215564
2022-06-03,375.0,375.35,365.35,366.9,8010976
2022-06-06,366.0,369.5,363.85,364.9,10390245
2022-06-07,363.6,367.5,361.7,363.35,5708056
2022-06-08,363.4,364.55,361.8,363.05,5020929
2022-06-09,363.0,368.5,362.5,365.3,5238450
2022-06-10,363.25,366.6,363.25,365.15,3916129
2022-06-13,363.05,364.95,361.9,362.7,4509163
2022-06-14,362.1,363.3,358.0,359.55,6976071
2022-06-15,359.9,362.45,359.0,361.95,4077501
2022-06-16,363.85,364.15,358.65,359.4,2940387
2022-06-17,359.0,361.05,356.65,357.35,4012167
2022-06-20,357.5,359.95,356.1,357.3,2297837
2022-06-21,358.1,360.95,358.1,358.9,3693727
2022-06-22,358.9,358.9,355.5,357.95,2588905
2022-06-23,358.4,362.0,358.05,358.95,2799410
2022-06-24,362.0,362.0,359.2,360.6,2713333
2022-06-27,362.25,365.7,360.5,365.15,3073581
2022-06-28,365.85,367.35,363.5,366.45,4285971
2022-06-29,364.95,367.5,364.1,365.5,4586257
2022-06-30,365.55,365.95,362.1,363.0,4383329
2022-07-01,363.95,368.6,362.1,367.55,2763265
2022-07-04,366.95,369.9,366.05,368.55,2275112
2022-07-05,368.95,371.25,365.6,366.65,3120800
2022-07-06,367.0,370.35,366.95,368.25,2209031
2022-07-07,369.9,369.9,366.1,366.95,2378264
2022-07-08,367.0,369.05,366.0,368.45,2126285
2022-07-11,367.1,369.95,366.85,369.2,3135297
2022-07-12,368.8,372.85,367.75,370.9,2870836
2022-07-13,372.95,373.95,370.3,371.2,2291028
2022-07-14,372.8,372.8,368.5,369.9,2772420
2022-07-15,368.0,371.3,368.0,369.15,3856534
2022-07-18,370.6,372.4,369.6,370.7,1745124
2022-07-19,369.3,371.5,369.3,370.95,1567448
2022-07-20,369.95,371.95,366.6,367.85,7381308
2022-07-21,368.0,371.35,366.25,370.75,3275734
2022-07-22,370.0,373.1,368.95,372.55,3091493
2022-07-25,372.55,373.5,370.4,371.15,3224386
2022-07-26,371.05,371.15,368.55,369.95,3457621
2022-07-27,369.25,372.2,368.7,370.85,2093349
2022-07-28,372.5,372.5,369.6,370.85,2711137
2022-07-29,372.4,376.0,370.0,374.8,6522643
2022-08-01,377.0,378.0,374.25,375.4,2857054
2022-08-02,375.4,382.8,374.95,378.65,9279545
2022-08-03,380.0,382.4,376.5,381.75,4871078
2022-08-04,382.0,383.75,378.0,381.25,6766384
2022-08-05,381.1,383.05,380.05,382.65,5063295
2022-08-08,382.85,382.95,378.85,380.2,3347197
2022-08-10,380.0,381.65,378.4,380.05,4142521
2022-08-11,382.0,382.0,378.6,380.2,2409452
2022-08-12,380.0,388.0,378.85,384.8,5187624
2022-08-16,388.9,399.0,385.45,396.1,11560298
2022-08-17,398.75,404.95,397.0,398.3,9431238
2022-08-18,398.3,414.5,396.5,409.6,15635723
2022-08-19,412.0,427.0,410.3,420.45,25170752
2022-08-22,418.1,420.25,404.35,408.0,11430522
2022-08-23,400.0,414.45,398.0,405.45,15301195
2022-08-24,405.45,407.55,398.1,404.15,15732825
2022-08-25,404.15,408.3,395.9,397.15,11273770
2022-08-26,400.0,406.7,392.2,402.85,13255204
2022-08-29,397.0,405.5,395.1,403.45,7557217
2022-08-30,406.65,412.85,404.5,411.25,7850724
2022-09-01,409.6,413.8,407.65,409.8,10762748
2022-09-02,411.45,418.3,405.55,415.6,8065543
2022-09-05,417.15,419.65,414.05,417.95,6074232
2022-09-06,419.4,441.0,417.5,436.5,23181406
2022-09-07,440.05,457.5,436.0,448.9,28271171
2022-09-08,453.95,464.0,446.25,461.9,14946215
2022-09-09,465.3,484.7,451.85,454.7,29429693
2022-09-12,454.6,479.5,440.6,475.65,27758553
2022-09-13,483.25,488.65,476.25,486.5,17838204
2022-09-14,482.0,533.7,482.0,524.6,57227785
2022-09-15,529.0,544.65,509.4,538.75,37876920
2022-09-16,530.95,550.0,511.05,516.7,42868907
2022-09-19,517.0,572.95,514.0,564.9,75766431
2022-09-20,579.0,585.7,567.5,574.35,43801561
2022-09-21,572.0,575.8,532.8,541.35,48987069
2022-09-22,524.5,548.8,516.1,534.05,24711825
2022-09-23,535.0,555.0,535.0,539.35,17013992
2022-09-26,537.0,544.0,499.1,511.2,17755403
2022-09-27,507.95,524.0,474.0,504.35,29131078
2022-09-28,495.0,514.35,491.05,500.05,12027505
2022-09-29,509.6,519.0,495.2,506.35,11295902
2022-09-30,507.0,523.15,501.0,515.6,11027044
2022-10-03,516.1,519.95,471.05,488.65,14294599
2022-10-04,502.4,506.4,482.9,492.2,12514196
2022-10-06,497.9,513.8,496.15,506.9,9446780
2022-10-07,506.8,527.0,499.8,521.8,9384318
2022-10-10,517.0,537.95,515.35,522.65,12806131
2022-10-11,525.0,526.6,498.3,500.2,7653551
2022-10-12,502.75,507.45,484.2,505.45,11786362
2022-10-13,505.4,505.4,491.5,496.85,6210395
2022-10-14,508.0,512.0,497.5,501.85,6337626
2022-10-17,499.0,522.7,497.45,520.55,9622872
2022-10-18,523.0,524.2,506.05,507.85,10116179
2022-10-19,511.0,519.0,506.7,510.7,6646686
2022-10-20,509.0,519.0,507.0,517.7,5222511
2022-10-21,518.0,522.9,503.8,512.6,9692791
2022-10-24,518.0,521.05,516.0,516.9,1412305
2022-10-25,516.2,521.8,511.65,513.1,5007884
2022-10-27,515.35,532.6,513.1,527.6,10064564
2022-10-28,530.2,530.2,515.65,520.1,6679519
2022-10-31,522.45,538.6,521.35,532.95,8600153
2022-11-01,535.0,545.6,533.75,544.05,8667512
2022-11-02,546.75,549.0,539.3,545.0,7739668
2022-11-03,540.0,547.5,538.5,539.5,3944970
2022-11-04,540.9,560.3,538.85,558.6,8028497
2022-11-07,561.0,573.0,553.15,568.1,9287296
2022-11-09,570.0,580.7,561.2,564.5,10307765
2022-11-10,563.0,568.4,551.5,558.15,5699634
2022-11-11,565.0,566.9,553.85,557.55,5251895
2022-11-14,558.9,586.55,557.55,580.3,9068844
2022-11-15,583.9,593.0,575.3,586.45,11896454
2022-11-16,586.5,593.5,568.2,577.2,8554308
2022-11-17,578.0,581.3,570.25,574.2,3652169
2022-11-18,574.5,576.0,563.9,574.1,4113040
2022-11-21,573.0,573.8,562.7,564.05,3480074
2022-11-22,564.0,578.45,560.5,565.85,7405869
2022-11-23,567.8,571.0,560.2,562.9,2782604
2022-11-24,564.25,565.95,554.55,557.85,3977340
2022-11-25,560.4,567.4,556.55,564.65,4010520
2022-11-28,564.0,572.5,562.8,568.45,4078114
2022-11-29,569.6,574.4,563.75,564.95,3646122
2022-11-30,565.9,573.95,560.55,570.75,6139270
2022-12-01,573.5,585.0,569.5,580.95,8400123
2022-12-02,582.55,584.15,573.4,577.95,7097023
2022-12-05,580.85,582.35,571.8,573.35,5491147
2022-12-06,572.5,585.0,570.6,581.0,6009003
2022-12-07,582.9,588.35,575.1,582.0,5406430
2022-12-08,583.95,590.8,581.6,587.75,2897106
2022-12-09,593.9,598.0,572.25,581.0,7795423
2022-12-12,580.0,587.3,573.4,585.05,4062776
2022-12-13,587.0,589.0,583.05,584.55,2436145
2022-12-14,585.1,589.5,581.05,582.2,1682787
2022-12-15,583.0,584.0,558.75,561.2,5046848
2022-12-16,558.0,568.6,553.5,556.05,4854177
2022-12-19,556.95,566.35,555.0,563.85,2341696
2022-12-20,563.9,565.0,554.1,560.1,2313292
2022-12-21,562.0,564.0,532.2,539.2,6697601
2022-12-22,543.5,544.6,525.25,532.85,7913922
2022-12-23,528.95,531.8,486.0,491.25,10541560
2022-12-26,493.95,522.35,489.9,514.15,8583549
2022-12-27,520.0,527.3,509.35,523.3,5808106
2022-12-28,525.0,527.5,516.45,518.4,3959786
2022-12-29,517.2,534.4,504.6,522.75,7354986
2022-12-30,525.0,531.9,522.1,524.1,3361557
2023-01-02,526.75,530.9,523.0,526.5,2226882
2023-01-03,527.5,533.4,523.05,530.95,3247177
2023-01-04,532.2,536.75,517.4,518.85,7145153
2023-01-05,518.95,525.95,513.55,524.75,3166328
2023-01-06,525.85,528.45,514.35,519.8,3454408
2023-01-09,523.0,527.5,520.65,524.75,1841059
2023-01-10,526.5,526.5,502.7,514.45,5366443
2023-01-11,515.95,515.95,505.65,508.1,3308303
2023-01-12,509.9,514.5,507.0,510.4,4129397
2023-01-13,511.4,520.5,511.4,518.65,4195766
2023-01-16,521.0,521.6,512.9,517.0,2181662
2023-01-17,517.25,520.5,511.3,517.5,2346252
2023-01-18,517.9,522.45,513.0,520.45,2338626
2023-01-19,519.0,525.4,517.05,519.25,2809131
2023-01-20,520.0,523.0,515.4,517.75,2656548
2023-01-23,518.0,518.7,498.25,501.1,4154237
2023-01-24,502.2,508.5,497.95,498.95,2166537
2023-01-25,497.0,498.0,450.7,460.2,33646469
2023-01-27,457.5,457.5,345.15,380.45,91035714
2023-01-30,400.0,427.65,352.0,387.5,71717149
2023-01-31,394.0,414.65,390.1,401.2,40532400
2023-02-01,409.2,412.7,320.5,334.1,78282914
2023-02-02,355.0,367.0,315.3,352.55,79579639
2023-02-03,351.95,380.7,318.5,373.6,58296804
2023-02-06,370.0,383.8,358.45,379.75,33131048
2023-02-07,384.5,406.7,371.7,384.05,42723721
2023-02-08,393.65,397.6,382.0,384.65,18573925
2023-02-09,378.0,378.0,354.0,357.8,28134958
2023-02-10,354.75,368.45,350.0,360.8,12021081
2023-02-13,363.5,366.9,336.55,342.45,20202357
2023-02-14,344.0,349.0,325.1,336.5,29650470
2023-02-15,336.5,350.95,335.0,344.85,14504126
2023-02-16,351.9,354.3,346.15,347.8,13932368
2023-02-17,346.4,355.95,343.0,353.3,12417704
2023-02-20,349.7,356.0,345.65,352.45,10433187
2023-02-21,353.35,366.5,351.5,352.85,18031338
2023-02-22,352.0,352.0,332.1,335.4,12696127
2023-02-23,336.0,343.85,331.35,336.9,10669135
2023-02-24,339.3,346.95,338.7,345.25,10758533
2023-02-27,340.4,344.45,326.0,329.9,8739164
2023-02-28,330.0,353.45,324.3,342.1,21986286
2023-03-01,344.2,354.9,344.2,353.6,14144946
2023-03-02,354.45,372.0,347.3,370.7,24526040
2023-03-03,382.7,399.4,375.6,391.85,40021246
2023-03-06,397.8,404.9,381.3,384.8,24519606
2023-03-08,381.05,393.5,378.65,392.1,12402058
2023-03-09,394.85,395.0,383.0,384.7,10495702
2023-03-10,380.0,382.35,373.4,378.35,8020226
2023-03-13,382.9,389.15,366.4,368.0,12292880
2023-03-14,366.05,367.85,340.8,353.4,18114439
2023-03-15,354.5,367.0,347.65,365.15,17243871
2023-03-16,365.9,384.0,360.25,378.8,17263099
2023-03-17,384.0,386.65,371.05,378.45,12121432
2023-03-20,376.1,376.55,360.3,365.4,9300490
2023-03-21,369.7,374.7,366.2,370.9,7158787
2023-03-22,373.4,378.2,371.4,375.55,6498242
2023-03-23,373.0,377.3,370.4,372.15,8428285
2023-03-24,373.0,376.5,368.05,371.8,9511565
2023-03-27,372.6,374.8,367.45,370.0,6286898
2023-03-28,371.8,373.65,354.3,358.95,15688650
2023-03-29,360.0,367.05,358.2,363.9,9557459
2023-03-31,367.5,370.6,364.0,365.4,5940574
2023-04-03,368.95,376.65,363.5,374.8,6083112
2023-04-05,374.5,380.9,371.25,379.95,6527285
2023-04-06,378.85,386.5,377.2,383.6,5656797
2023-04-10,385.7,389.6,383.25,384.35,3153339
2023-04-11,385.95,388.5,380.8,384.4,3414962
2023-04-12,385.9,397.75,382.7,396.05,9414809
2023-04-13,394.9,396.6,390.05,392.65,6239733
2023-04-17,392.0,395.05,387.05,390.85,4916231
2023-04-18,391.55,394.3,379.9,383.05,3985987
2023-04-19,384.0,388.2,377.65,380.05,3599765
2023-04-20,380.5,382.3,378.1,380.7,4345524
2023-04-21,381.25,382.0,373.4,375.1,4286701
2023-04-24,375.1,382.9,373.35,380.3,3030412
2023-04-25,381.65,387.55,380.6,382.5,4790001
2023-04-26,382.0,390.0,380.15,386.45,4369712
2023-04-27,386.45,390.5,382.75,388.8,5093452
2023-04-28,390.0,399.5,384.1,396.5,11030482
2023-05-02,398.0,399.4,389.05,394.4,7419371
2023-05-03,392.9,400.55,375.75,383.65,13078081
2023-05-04,384.0,390.85,380.6,388.3,6828148
2023-05-05,388.5,406.0,387.45,400.55,11844907
2023-05-08,404.8,408.9,400.7,405.5,6282119
2023-05-09,407.9,412.4,403.45,405.65,7401793
2023-05-10,407.85,409.3,402.5,408.3,3823364
2023-05-11,410.0,415.0,406.2,412.2,5043085
2023-05-12,411.0,414.75,407.1,410.0,5365495
2023-05-15,411.0,411.5,403.1,406.6,2396533
2023-05-16,405.0,409.8,399.8,400.9,3189110
2023-05-17,400.0,407.0,399.3,406.3,4399478
2023-05-18,408.0,408.8,395.5,399.05,4266534
2023-05-19,399.05,406.0,395.65,403.15,4401094
2023-05-22,405.5,433.7,405.0,423.9,17691079
2023-05-23,428.8,440.95,424.45,427.3,18654251
2023-05-24,428.1,430.0,419.6,422.3,6096592
2023-05-25,421.0,424.65,415.7,419.2,4130074
2023-05-26,421.4,425.65,417.5,424.55,3769455
2023-05-29,426.9,430.9,422.75,427.0,7799828
2023-05-30,427.0,432.95,425.35,430.9,3733902
2023-05-31,430.4,430.8,420.85,423.6,6180317
2023-06-01,425.0,431.25,424.0,429.25,3422014
2023-06-02,431.45,440.0,431.45,438.05,5425758
2023-06-05,440.05,441.65,437.05,439.05,3391422
2023-06-06,441.8,460.95,440.0,459.15,15043392
2023-06-07,461.0,461.5,452.5,455.75,4545088
2023-06-08,456.0,460.0,445.85,451.7,4925548
2023-06-09,452.0,458.15,451.0,455.7,4370589
2023-06-12,456.0,458.4,453.45,456.3,2768142
2023-06-13,457.5,463.8,455.55,458.95,2313541
2023-06-14,460.25,465.5,459.4,464.6,4260531
2023-06-15,466.0,468.9,457.05,458.35,2606044
2023-06-16,461.4,465.6,457.0,461.6,4254132
2023-06-19,460.9,464.05,449.45,453.2,2382138
2023-06-20,453.5,455.6,446.7,449.0,2992579
2023-06-21,449.0,452.35,444.7,450.7,2646245
2023-06-22,449.4,452.95,441.75,445.4,2308911
2023-06-23,445.0,445.0,424.2,425.0,4853898
2023-06-26,425.75,433.9,419.4,432.95,3390068
2023-06-27,434.0,440.65,433.15,434.15,3014663
2023-06-28,435.4,441.75,431.95,435.95,6400073
2023-06-30,436.0,441.0,425.15,426.5,6307131
2023-07-03,428.4,437.2,428.4,435.9,3008392
2023-07-04,436.45,438.5,431.1,433.1,1571867
2023-07-05,433.4,434.65,426.75,432.95,2051680
2023-07-06,432.0,435.2,429.8,431.5,2139946
2023-07-07,430.0,430.15,416.55,418.0,3723610
2023-07-10,419.0,424.85,412.1,419.3,3508655
2023-07-11,421.0,422.25,418.45,418.7,2503955
2023-07-12,420.0,422.95,415.1,420.6,2223983
2023-07-13,421.55,422.65,414.9,416.6,2740147
2023-07-14,416.9,419.2,414.05,416.15,7575073
2023-07-17,418.0,422.55,415.05,417.0,5087655
2023-07-18,416.95,424.7,414.3,417.2,3802590
2023-07-19,417.6,421.0,416.25,419.35,2252725
2023-07-20,420.05,423.35,418.7,420.25,2865980
2023-07-21,419.4,419.5,415.45,416.2,1985718
2023-07-24,417.0,428.75,416.0,422.5,3191678
2023-07-25,423.15,441.9,423.15,441.5,6428168
2023-07-26,443.7,448.35,436.95,444.5,4983200
2023-07-27,444.3,454.95,438.7,454.5,4471002
2023-07-28,455.0,456.5,448.05,454.0,4544173
2023-07-31,455.0,468.75,455.0,463.95,5150723
2023-08-01,464.0,468.3,452.8,461.6,3102269
2023-08-02,462.0,469.2,450.0,463.0,8771670
2023-08-03,465.0,481.1,458.75,472.95,12595077
2023-08-04,477.0,477.5,470.15,470.25,2978011
2023-08-07,473.4,476.0,468.75,473.95,2226869
2023-08-08,474.95,475.8,456.25,464.4,5363614
2023-08-09,466.2,466.6,460.5,463.0,2478038
2023-08-10,463.05,465.55,454.7,457.95,2517860
2023-08-11,457.5,463.35,454.2,455.3,2570382
2023-08-14,450.55,452.0,437.65,440.0,4161346
2023-08-16,440.3,440.3,432.2,437.0,1732684
2023-08-17,437.4,446.9,433.65,445.15,2122793
2023-08-18,445.95,460.95,439.8,452.0,4724894
2023-08-21,454.1,469.0,453.65,467.4,3547161
2023-08-22,468.25,470.65,462.35,463.75,3081322
2023-08-23,464.5,466.8,450.1,455.05,3470365
2023-08-24,456.45,461.8,447.25,449.0,4311686
2023-08-25,448.2,448.3,433.05,433.8,5508914
2023-08-28,439.2,442.6,432.25,438.8,3330676
2023-08-29,440.0,447.5,436.7,442.5,4047772
2023-08-30,444.7,445.5,440.35,444.8,2221302
2023-08-31,439.85,442.3,425.1,428.0,11980649
2023-09-01,427.55,437.4,425.5,433.9,3846763
2023-09-04,435.35,443.95,435.15,441.15,4347480
2023-09-05,441.3,444.45,437.5,440.2,2261743
2023-09-06,441.0,442.0,433.5,437.75,2410656
2023-09-07,437.95,440.6,435.2,439.45,2211370
2023-09-08,440.05,441.2,436.9,439.2,1913450
2023-09-11,439.25,453.4,439.25,450.9,5287778
2023-09-12,453.9,453.9,436.65,445.0,5467782
2023-09-13,447.0,449.95,440.35,443.9,2583760
2023-09-14,444.8,446.4,441.7,445.2,2000637
2023-09-15,445.0,448.1,442.5,445.05,2963506
2023-09-18,445.0,445.7,433.0,436.65,3707587
2023-09-20,436.5,438.35,425.05,428.15,2289507
2023-09-21,427.5,430.6,423.2,426.1,2680700
2023-09-22,426.0,428.5,418.05,420.95,2666687
2023-09-25,420.5,425.95,414.7,422.9,3913804
2023-09-26,423.3,434.0,422.45,429.75,6162665
2023-09-27,428.0,431.85,426.0,430.45,1952178
2023-09-28,431.0,431.5,418.65,419.9,3461405
2023-09-29,423.8,428.5,420.0,424.8,2835399
2023-10-03,424.05,434.4,422.5,432.2,2833284
2023-10-04,430.0,434.0,424.3,429.65,3214525
2023-10-05,430.0,434.85,428.75,432.85,1287179
2023-10-06,434.0,437.0,431.8,435.7,1547935
2023-10-09,430.1,437.5,427.5,430.2,4370429
2023-10-10,430.15,438.85,428.0,437.2,3288646
2023-10-11,438.9,447.0,438.0,445.1,3228077
2023-10-12,449.0,450.35,444.05,445.6,1700298
2023-10-13,444.5,445.8,438.9,439.9,950920
2023-10-16,439.0,444.8,438.95,443.25,1353905
2023-10-17,443.55,444.5,440.1,442.65,1043674
2023-10-18,442.4,444.0,431.5,433.0,1919224
2023-10-19,432.55,440.05,430.1,437.45,1131689
2023-10-20,437.0,439.55,428.1,430.85,2066618
2023-10-23,432.75,432.75,411.6,415.95,1925177
2023-10-25,417.0,422.75,413.6,417.95,3289897
2023-10-26,414.6,422.5,407.75,416.3,2296586
2023-10-27,419.45,423.95,415.1,417.25,1693364
2023-10-30,420.2,423.6,416.0,421.95,1290400
2023-10-31,423.95,427.45,421.0,424.45,1078687
2023-11-01,425.5,425.5,404.05,406.65,5188883
2023-11-02,411.0,423.4,410.15,419.7,3289570
2023-11-03,421.0,423.95,417.25,420.9,1579359
2023-11-06,421.95,425.0,420.0,421.25,1061040
2023-11-07,421.8,423.35,418.1,419.55,662939
2023-11-08,421.6,426.0,419.2,421.0,1055490
2023-11-09,422.4,423.55,415.95,418.3,882283
2023-11-10,418.75,419.85,415.45,418.1,1025880
2023-11-12,420.0,422.2,420.0,420.95,244482
2023-11-13,421.85,422.15,418.4,419.4,698694
2023-11-15,421.0,423.5,417.7,418.15,2736651
2023-11-16,420.0,420.65,417.0,419.9,1724084
2023-11-17,422.0,428.0,418.0,421.1,2116735
2023-11-20,421.1,424.25,418.2,421.5,1481395
2023-11-21,422.4,424.3,419.1,420.15,1003554
2023-11-22,420.0,421.2,413.25,414.25,1457858
2023-11-23,416.75,416.75,408.6,415.6,1212949
2023-11-24,415.95,416.0,411.35,414.3,1929621
2023-11-28,421.0,435.45,417.25,431.2,7654493
2023-11-29,435.0,437.3,428.05,435.65,4081524
2023-11-30,436.0,443.0,430.7,439.25,6906477
2023-12-01,444.0,444.0,438.0,442.0,2478791
2023-12-04,460.0,475.8,453.25,474.55,13146040
2023-12-05,475.0,513.5,474.55,509.05,22838581
2023-12-06,515.0,523.65,499.5,501.1,13223984
2023-12-07,503.7,508.4,496.35,505.1,3608185
2023-12-08,508.95,509.6,482.35,494.35,4085720
2023-12-11,497.9,506.5,489.5,504.0,4277828
2023-12-12,506.05,510.5,497.75,501.35,3392736
2023-12-13,504.0,513.4,502.05,509.05,3481573
2023-12-14,514.8,523.4,511.85,520.25,5858223
2023-12-15,523.7,529.4,514.5,522.4,5777967
2023-12-18,530.0,532.5,524.3,525.65,2875095
2023-12-19,528.4,530.55,517.0,522.35,2762093
2023-12-20,524.0,526.3,486.0,490.45,5434428
2023-12-21,481.0,505.9,480.45,503.9,3610387
2023-12-22,505.1,510.4,498.25,503.8,2571515
2023-12-26,504.0,508.55,502.65,505.35,1869260
2023-12-27,520.95,523.0,513.15,517.0,5618393
2023-12-28,518.0,519.95,512.05,514.25,1945694
2023-12-29,514.6,522.45,511.6,520.9,2686563
2024-01-01,520.85,539.7,519.8,534.3,4251624
2024-01-02,537.0,537.0,518.5,530.9,2655551
2024-01-03,538.45,549.0,528.15,536.1,13711402
2024-01-04,538.35,554.55,536.75,549.45,6112049
2024-01-05,550.0,557.9,538.4,542.35,5130749
2024-01-08,544.25,544.25,526.9,530.2,3333769
2024-01-09,535.85,538.8,523.25,525.2,2741683
2024-01-10,528.7,528.7,518.25,526.15,1792977
2024-01-11,529.15,541.95,525.4,538.25,2505937
2024-01-12,543.0,544.75,531.1,532.4,2315342
2024-01-15,537.0,537.2,526.5,531.45,1838608
2024-01-16,533.8,534.95,525.0,528.7,2732941
2024-01-17,528.0,539.35,518.25,520.55,6229815
2024-01-18,522.65,526.95,509.0,524.15,2084710
2024-01-19,526.85,538.0,525.25,537.1,2661086
